update_idx,run_label,oversight_prob,t_generate_and_process_batch,t_full_step,global_step,avg_unseen_or_unfinished_gate,avg_seen_diamond_gate,avg_seen_ghost_gate,policy_loss,value_loss,gate_loss,entropy_bonus,loss,avg_action_prob,avg_return,avg_gate_openness,reached_diamond_seen,reached_ghost_seen,reached_diamond_unseen,reached_ghost_unseen,n_complete_eps,complete_ep_len,run_id
0,routing,0.01,0.5453224182128906,0.8400635719299316,16384,0.4970192015171051,0.4972074329853058,0.4955805838108063,2446.833984375,3655006.0,0.006949196103960276,-0.13862153887748718,3657452.5,0.2500264048576355,1764.9393310546875,0.49699848890304565,0.008571428571428572,0.002857142857142857,0.48142857142857143,0.5071428571428571,700,10.338571428571429,352520
1,routing,0.01,0.14878630638122559,0.17514443397521973,32768,0.4971174895763397,0.4973768889904022,0.49707964062690735,2163.04248046875,3316576.75,0.006876626051962376,-0.13862194120883942,3318739.5,0.2500441074371338,1560.2762451171875,0.4970950186252594,0.002938295788442703,0.010773751224289911,0.31733594515181196,0.3614103819784525,1021,17.930460333006856,352520
2,routing,0.01,0.1414196491241455,0.16652822494506836,49152,0.4971572160720825,0.49748313426971436,0.4967678189277649,2047.615966796875,3145925.5,0.006920406129211187,-0.13862214982509613,3147972.75,0.2500714063644409,1477.24853515625,0.49712973833084106,0.0010695187165775401,0.0032085561497326204,0.3572192513368984,0.35508021390374334,935,18.0951871657754,352520
3,routing,0.01,0.1410050392150879,0.1656627655029297,65536,0.4972487688064575,0.4969968795776367,0.49693039059638977,2000.4908447265625,3097262.75,0.006913493853062391,-0.13862226903438568,3099263.0,0.2500669062137604,1442.900634765625,0.49721160531044006,0.004371584699453552,0.003278688524590164,0.3628415300546448,0.3584699453551913,915,17.68415300546448,352520
4,routing,0.01,0.14050984382629395,0.16538405418395996,81920,0.49740877747535706,0.49682021141052246,,,3225029.25,0.006995329167693853,,,0.24999237060546875,1513.021240234375,0.49735885858535767,0.004223864836325237,0.0,0.38753959873284055,0.3347412882787751,947,17.87117212249208,352520
5,routing,0.01,0.13899540901184082,0.16350436210632324,98304,0.4975699782371521,0.498731404542923,0.49838414788246155,1955.606689453125,3005069.5,0.0069342502392828465,-0.13862307369709015,3007024.75,0.25005996227264404,1411.004638671875,0.49749764800071716,0.003401360544217687,0.0022675736961451248,0.36054421768707484,0.3412698412698413,882,18.46371882086168,352520
6,routing,0.01,0.141221284866333,0.1662905216217041,114688,0.49766725301742554,0.4980638921260834,0.4991036057472229,2032.524169921875,3114586.0,0.006947780027985573,-0.13862286508083344,3116618.25,0.2500196397304535,1466.41845703125,0.49759340286254883,0.0032751091703056767,0.002183406113537118,0.37445414847161573,0.34170305676855894,916,17.907205240174672,352520
7,routing,0.01,0.14090418815612793,0.16515016555786133,131072,0.4977973699569702,0.4981316924095154,0.4944036602973938,2068.865234375,3172071.25,0.0069317687302827835,-0.13862305879592896,3174139.75,0.25004249811172485,1492.7669677734375,0.49770909547805786,0.0010834236186348862,0.0010834236186348862,0.3640303358613218,0.37378114842903576,923,17.492957746478872,352520
8,routing,0.01,0.13940668106079102,0.16414284706115723,147456,0.4979381859302521,0.49757111072540283,0.49602794647216797,2133.427001953125,3254701.0,0.006858204957097769,-0.1386231631040573,3256834.25,0.2499828040599823,1538.871337890625,0.4978103041648865,0.0011025358324145535,0.004410143329658214,0.3340683572216097,0.3936052921719956,907,18.124586549062844,352520
9,routing,0.01,0.13772368431091309,0.16240167617797852,163840,0.49793335795402527,0.4990777373313904,0.49685728549957275,2077.624755859375,3199589.0,0.006898346822708845,-0.13862338662147522,3201666.25,0.2500338554382324,1499.14599609375,0.4977981448173523,0.0010649627263045794,0.003194888178913738,0.362087326943557,0.3663471778487753,939,17.56975505857295,352520
