update_idx,run_label,oversight_prob,t_generate_and_process_batch,t_full_step,global_step,policy_loss,value_loss,entropy_bonus,loss,avg_action_prob,avg_return,reached_diamond_seen,reached_ghost_seen,reached_diamond_unseen,reached_ghost_unseen,n_complete_eps,complete_ep_len,run_id
0,naive_outcomes,0.1,0.810783863067627,1.2766377925872803,16384,0.436367005109787,0.14832574129104614,0.13862080872058868,0.44607192277908325,0.25006064772605896,0.31694525480270386,0.05299860529986053,0.05578800557880056,0.45467224546722457,0.43654114365411434,717,10.234309623430962,43062
1,naive_outcomes,0.1,0.13704538345336914,0.1439833641052246,32768,0.3851078152656555,0.12864840030670166,0.13862045109272003,0.37513577938079834,0.25007081031799316,0.2810248136520386,0.036779324055666,0.02286282306163022,0.294234592445328,0.3399602385685885,1006,17.907554671968192,43062
2,naive_outcomes,0.1,0.1301712989807129,0.13707780838012695,49152,0.37006497383117676,0.12587201595306396,0.13862095773220062,0.3573160171508789,0.24998675286769867,0.27161264419555664,0.03699788583509514,0.0306553911205074,0.32346723044397463,0.3202959830866808,946,18.181818181818183,43062
3,naive_outcomes,0.1,0.12746453285217285,0.13386964797973633,65536,0.3536686301231384,0.12273870408535004,0.13862089812755585,0.3377864360809326,0.2500268220901489,0.26168474555015564,0.033003300330033,0.036303630363036306,0.33223322332233224,0.32233223322332233,909,17.94719471947195,43062
4,naive_outcomes,0.1,0.2220933437347412,0.22866511344909668,81920,0.33596593141555786,0.11753322184085846,0.13862085342407227,0.31487828493118286,0.25003403425216675,0.25075942277908325,0.03322259136212625,0.03765227021040975,0.32004429678848284,0.3178294573643411,903,18.120708748615726,43062
5,naive_outcomes,0.1,0.1290116310119629,0.13544249534606934,98304,0.361087828874588,0.12360426783561707,0.13862119615077972,0.34607088565826416,0.25003331899642944,0.27009302377700806,0.039445628997867806,0.03091684434968017,0.3187633262260128,0.3294243070362473,938,18.059701492537314,43062
6,naive_outcomes,0.1,0.1287834644317627,0.13519716262817383,114688,0.3556545376777649,0.12797811627388,0.1386214941740036,0.3450111746788025,0.24999579787254333,0.2670518159866333,0.04034896401308615,0.04143947655398037,0.33478735005452565,0.3282442748091603,917,17.708833151581242,43062
7,naive_outcomes,0.1,0.12764596939086914,0.13415241241455078,131072,0.37229442596435547,0.12726250290870667,0.138621985912323,0.36093494296073914,0.25002342462539673,0.2802600860595703,0.0411522633744856,0.03189300411522634,0.30349794238683125,0.35288065843621397,972,17.145061728395063,43062
8,naive_outcomes,0.1,0.12730789184570312,0.13334298133850098,147456,0.3640128970146179,0.12793679535388947,0.13862203061580658,0.3533276319503784,0.25007715821266174,0.27557554841041565,0.043859649122807015,0.043859649122807015,0.3190789473684211,0.3399122807017544,912,17.50548245614035,43062
9,naive_outcomes,0.1,0.12426567077636719,0.13046956062316895,163840,0.3415448069572449,0.11879570782184601,0.13862214982509613,0.32171833515167236,0.25004011392593384,0.26094114780426025,0.04048140043763676,0.038293216630196934,0.31400437636761486,0.31947483588621445,914,18.239606126914662,43062
10,naive_outcomes,0.1,0.1274409294128418,0.13342070579528809,180224,0.35375332832336426,0.1243901401758194,0.13862238824367523,0.33952105045318604,0.2500362694263458,0.2716273069381714,0.04475982532751092,0.03820960698689956,0.33624454148471616,0.3482532751091703,916,16.874454148471617,43062
11,naive_outcomes,0.1,0.13072824478149414,0.1371593475341797,196608,0.36545711755752563,0.12785804271697998,0.13862214982509613,0.3546929955482483,0.2500492036342621,0.2812543213367462,0.031088082901554404,0.03419689119170984,0.30362694300518134,0.3544041450777202,965,18.004145077720207,43062
12,naive_outcomes,0.1,0.13408160209655762,0.14044642448425293,212992,0.3489394783973694,0.12289278209209442,0.1386222094297409,0.3332100510597229,0.25005629658699036,0.2707829475402832,0.030949839914621132,0.03735325506937033,0.33084311632870866,0.33938100320170755,937,17.373532550693703,43062
13,naive_outcomes,0.1,0.12562942504882812,0.13183140754699707,229376,0.31781426072120667,0.1164776086807251,0.13862216472625732,0.29566970467567444,0.25006866455078125,0.24980732798576355,0.02993348115299335,0.03547671840354767,0.31596452328159647,0.34700665188470065,902,17.656319290465632,43062
14,naive_outcomes,0.1,0.1296529769897461,0.13579559326171875,245760,0.3635261654853821,0.12826015055179596,0.13862238824367523,0.3531638979911804,0.2500396966934204,0.28457778692245483,0.0421377183967112,0.03699897225077081,0.3391572456320658,0.33504624871531347,973,16.83556012332991,43062
15,naive_outcomes,0.1,0.12569189071655273,0.13183331489562988,262144,0.3547166585922241,0.1263028383255005,0.13862228393554688,0.34239721298217773,0.25004124641418457,0.27941271662712097,0.04013015184381779,0.03579175704989154,0.32212581344902386,0.3297180043383948,922,18.094360086767896,43062
16,naive_outcomes,0.1,0.12788915634155273,0.1340625286102295,278528,0.32260558009147644,0.11423258483409882,0.13862232863903046,0.2982158064842224,0.2500264644622803,0.25888165831565857,0.02826086956521739,0.02391304347826087,0.29782608695652174,0.35978260869565215,920,17.901086956521738,43062
17,naive_outcomes,0.1,0.1493973731994629,0.15565848350524902,294912,0.3171535134315491,0.11886556446552277,0.13862274587154388,0.29739630222320557,0.24998700618743896,0.2559547424316406,0.03225806451612903,0.03333333333333333,0.33440860215053764,0.33440860215053764,930,17.39569892473118,43062
18,naive_outcomes,0.1,0.13058996200561523,0.1367936134338379,311296,0.3336341977119446,0.11962305009365082,0.13862279057502747,0.3146344721317291,0.2500494718551636,0.2696644365787506,0.039445628997867806,0.03091684434968017,0.3326226012793177,0.3347547974413646,938,17.31769722814499,43062
19,naive_outcomes,0.1,0.13355636596679688,0.13984417915344238,327680,0.3518085479736328,0.12608148157596588,0.13862229883670807,0.3392677307128906,0.2500489354133606,0.28448641300201416,0.026748971193415638,0.037037037037037035,0.31893004115226337,0.35390946502057613,972,17.628600823045268,43062
20,naive_outcomes,0.1,0.13028645515441895,0.13659238815307617,344064,0.31069839000701904,0.11468541622161865,0.1386222094297409,0.2867615818977356,0.24999696016311646,0.25609421730041504,0.03135135135135135,0.04,0.3254054054054054,0.33945945945945943,925,17.052972972972974,43062
21,naive_outcomes,0.1,0.12952184677124023,0.1356818675994873,360448,0.3682039678096771,0.12810078263282776,0.1386222094297409,0.3576825261116028,0.2500590682029724,0.2997438907623291,0.03433922996878252,0.02809573361082206,0.34235171696149846,0.3548387096774194,961,17.174817898022894,43062
22,naive_outcomes,0.1,0.12861919403076172,0.13467884063720703,376832,0.3381827473640442,0.11813049018383026,0.1386222094297409,0.31769102811813354,0.25001513957977295,0.27867254614830017,0.03264417845484222,0.028291621327529923,0.34276387377584333,0.32100108813928185,919,17.815016322089228,43062
23,naive_outcomes,0.1,0.14809346199035645,0.15423226356506348,393216,0.3115074634552002,0.1186627671122551,0.13862226903438568,0.291547954082489,0.2500726580619812,0.262522429227829,0.042437431991294884,0.04787812840043525,0.32861806311207836,0.3133841131664853,919,17.81828073993471,43062
24,naive_outcomes,0.1,0.12993741035461426,0.13604307174682617,409600,0.32441073656082153,0.11849896609783173,0.13862191140651703,0.30428779125213623,0.2500606179237366,0.27322423458099365,0.03559870550161812,0.02912621359223301,0.3214670981661273,0.3344120819848975,927,18.018338727076593,43062
25,naive_outcomes,0.1,0.12658190727233887,0.1327207088470459,425984,0.3114255368709564,0.11524379253387451,0.13862180709838867,0.28804752230644226,0.2499990165233612,0.26548701524734497,0.0367816091954023,0.03793103448275862,0.31494252873563217,0.3471264367816092,870,18.21264367816092,43062
26,naive_outcomes,0.1,0.12685132026672363,0.13308405876159668,442368,0.31246882677078247,0.11537836492061615,0.13862201571464539,0.28922519087791443,0.25007206201553345,0.2677977681159973,0.03528114663726571,0.03528114663726571,0.33517089305402425,0.3175303197353914,907,18.303197353914,43062
27,naive_outcomes,0.1,0.12841534614562988,0.1344916820526123,458752,0.308469295501709,0.12074755132198334,0.13862238824367523,0.2905944585800171,0.25002962350845337,0.266127347946167,0.03007518796992481,0.04833512352309345,0.3383458646616541,0.32867883995703545,931,17.65843179377014,43062
28,naive_outcomes,0.1,0.12823724746704102,0.13421988487243652,475136,0.3074631094932556,0.11577867716550827,0.13862214982509613,0.28461962938308716,0.25001806020736694,0.2668699622154236,0.05027322404371585,0.04262295081967213,0.3224043715846995,0.3081967213114754,915,17.966120218579235,43062
