update_idx,run_label,oversight_prob,t_generate_and_process_batch,t_full_step,global_step,policy_loss,value_loss,entropy_bonus,loss,avg_action_prob,avg_return,reached_diamond_seen,reached_ghost_seen,reached_diamond_unseen,reached_ghost_unseen,n_complete_eps,complete_ep_len,run_id
0,naive_outcomes,0.3,0.5451054573059082,0.9194197654724121,16384,0.3086846172809601,0.1477399468421936,0.1386161893606186,0.3178083896636963,0.2500429153442383,0.2236938178539276,0.14979195561719832,0.1664355062413315,0.31900138696255204,0.3647711511789182,721,10.047156726768378,281705
1,naive_outcomes,0.3,0.24855327606201172,0.25739192962646484,32768,0.27320432662963867,0.12565669417381287,0.13861626386642456,0.260244756937027,0.25010377168655396,0.19880178570747375,0.10607621009268794,0.10504634397528322,0.21730175077239958,0.24922760041194644,971,18.636457260556128,281705
2,naive_outcomes,0.3,0.23732829093933105,0.24671101570129395,49152,0.2734074592590332,0.12293398380279541,0.1386161893606186,0.25772523880004883,0.25009387731552124,0.20104597508907318,0.10374331550802139,0.10695187165775401,0.25240641711229944,0.23957219251336898,935,18.522994652406418,281705
3,naive_outcomes,0.3,0.2030482292175293,0.21080899238586426,65536,0.2868170142173767,0.12963822484016418,0.13861607015132904,0.27783918380737305,0.25006866455078125,0.2122681736946106,0.12291666666666666,0.1,0.253125,0.26145833333333335,960,17.303125,281705
4,naive_outcomes,0.3,0.1442575454711914,0.1520090103149414,81920,0.26697292923927307,0.12054675072431564,0.13861647248268127,0.24890321493148804,0.25007039308547974,0.19913479685783386,0.10033076074972437,0.10033076074972437,0.2756339581036384,0.25027563395810365,907,17.7651598676957,281705
5,naive_outcomes,0.3,0.1485130786895752,0.1556251049041748,98304,0.2720000147819519,0.12737511098384857,0.13861654698848724,0.26075857877731323,0.25004997849464417,0.20376116037368774,0.12474012474012475,0.11850311850311851,0.26715176715176714,0.23700623700623702,962,16.995841995841996,281705
6,naive_outcomes,0.3,0.14876580238342285,0.15731096267700195,114688,0.29466596245765686,0.12491059303283691,0.13861659169197083,0.28095996379852295,0.25009220838546753,0.22219713032245636,0.11572052401746726,0.09497816593886463,0.2893013100436681,0.21724890829694324,916,18.30240174672489,281705
7,naive_outcomes,0.3,0.1541156768798828,0.1609516143798828,131072,0.2806049585342407,0.1216694563627243,0.13861680030822754,0.2636576294898987,0.25000831484794617,0.21286487579345703,0.10553814002089865,0.09717868338557993,0.2507836990595611,0.2800417972831766,957,16.958202716823408,281705
8,naive_outcomes,0.3,0.14534211158752441,0.15192532539367676,147456,0.26073044538497925,0.12705424427986145,0.13861730694770813,0.24916738271713257,0.2500830888748169,0.20037075877189636,0.09513742071881606,0.11945031712473574,0.27061310782241016,0.25052854122621565,946,17.455602536997887,281705
9,naive_outcomes,0.3,0.14225101470947266,0.14913320541381836,163840,0.2664812207221985,0.1165643185377121,0.13861706852912903,0.24442848563194275,0.25002968311309814,0.20559965074062347,0.11479028697571744,0.10154525386313466,0.24282560706401765,0.26048565121412803,906,17.814569536423843,281705
10,naive_outcomes,0.3,0.14204144477844238,0.1487598419189453,180224,0.26294416189193726,0.11736860871315002,0.13861706852912903,0.24169570207595825,0.2500462532043457,0.2052437961101532,0.10777777777777778,0.09333333333333334,0.27444444444444444,0.2577777777777778,900,17.54888888888889,281705
11,naive_outcomes,0.3,0.14311504364013672,0.1497046947479248,196608,0.26647377014160156,0.11604401469230652,0.13861751556396484,0.24390026926994324,0.25002071261405945,0.20971372723579407,0.11758241758241758,0.0912087912087912,0.23956043956043957,0.24505494505494504,910,18.565934065934066,281705
12,naive_outcomes,0.3,0.14586281776428223,0.15283703804016113,212992,0.2694344222545624,0.12622515857219696,0.13861770927906036,0.257041871547699,0.25005942583084106,0.2130565345287323,0.10714285714285714,0.11363636363636363,0.2510822510822511,0.26406926406926406,924,17.85822510822511,281705
13,naive_outcomes,0.3,0.15870022773742676,0.1653456687927246,229376,0.27551886439323425,0.12343788146972656,0.13861751556396484,0.26033923029899597,0.25004932284355164,0.21875840425491333,0.1180931744312026,0.10184182015167931,0.24702058504875407,0.2676056338028169,923,17.60996749729144,281705
14,naive_outcomes,0.3,0.14910292625427246,0.15582013130187988,245760,0.2754459083080292,0.12289203703403473,0.13861826062202454,0.25971969962120056,0.25005269050598145,0.22014091908931732,0.10326086956521739,0.10543478260869565,0.23369565217391305,0.2793478260869565,920,18.016304347826086,281705
15,naive_outcomes,0.3,0.14345097541809082,0.15015625953674316,262144,0.23894459009170532,0.12023033201694489,0.1386183500289917,0.22055655717849731,0.2500332295894623,0.19539594650268555,0.10888888888888888,0.11666666666666667,0.2511111111111111,0.25555555555555554,900,18.006666666666668,281705
16,naive_outcomes,0.3,0.14279460906982422,0.14965391159057617,278528,0.28738516569137573,0.12372814118862152,0.13861826062202454,0.2724950611591339,0.25008517503738403,0.23243160545825958,0.1050328227571116,0.09080962800875274,0.2658643326039387,0.2811816192560175,914,17.684901531728666,281705
17,naive_outcomes,0.3,0.1477184295654297,0.15438032150268555,294912,0.25284457206726074,0.11990447342395782,0.13861821591854095,0.23413081467151642,0.2501009702682495,0.20906373858451843,0.09615384615384616,0.10897435897435898,0.25213675213675213,0.27136752136752135,936,17.721153846153847,281705
18,naive_outcomes,0.3,0.1453871726989746,0.15201258659362793,311296,0.20665523409843445,0.11993870139122009,0.1386183351278305,0.18797560036182404,0.25004881620407104,0.17726069688796997,0.09217577706323687,0.12968917470525188,0.2583065380493033,0.23365487674169347,933,17.858520900321544,281705
19,naive_outcomes,0.3,0.15470361709594727,0.1631631851196289,327680,0.24773404002189636,0.11824709177017212,0.1386178731918335,0.22736325860023499,0.25002431869506836,0.20730185508728027,0.1111111111111111,0.11784511784511785,0.24915824915824916,0.250280583613917,891,18.08080808080808,281705
20,naive_outcomes,0.3,0.14928221702575684,0.15585756301879883,344064,0.2498326301574707,0.12398068606853485,0.13861818611621857,0.23519514501094818,0.25008904933929443,0.21108216047286987,0.10352187833511206,0.11099252934898612,0.272145144076841,0.25827107790821774,937,17.451440768409817,281705
21,naive_outcomes,0.3,0.14614439010620117,0.15273809432983398,360448,0.23914657533168793,0.12438860535621643,0.13861806690692902,0.22491709887981415,0.25006377696990967,0.204487144947052,0.09865005192107996,0.11941848390446522,0.24610591900311526,0.2731048805815161,963,17.22429906542056,281705
22,naive_outcomes,0.3,0.14174890518188477,0.14829754829406738,376832,0.21480581164360046,0.11525164544582367,0.1386178433895111,0.19143959879875183,0.2500348687171936,0.18808981776237488,0.10927152317880795,0.11037527593818984,0.22626931567328917,0.26600441501103755,906,18.103752759381898,281705
23,naive_outcomes,0.3,0.1488478183746338,0.15554499626159668,393216,0.2582966387271881,0.12259342521429062,0.13861814141273499,0.24227192997932434,0.2500198781490326,0.22176820039749146,0.11205976520811099,0.10352187833511206,0.23692636072572038,0.29775880469583776,937,17.30202774813234,281705
24,naive_outcomes,0.3,0.1474463939666748,0.15398383140563965,409600,0.22355927526950836,0.12003899365663528,0.13861823081970215,0.2049800455570221,0.2500784993171692,0.1985917091369629,0.10948905109489052,0.11157455683003129,0.2533889468196038,0.2523461939520334,959,17.413972888425445,281705
25,naive_outcomes,0.3,0.14973115921020508,0.15602850914001465,425984,0.24727025628089905,0.12103968113660812,0.13861799240112305,0.22969195246696472,0.25007063150405884,0.21756631135940552,0.1162280701754386,0.11074561403508772,0.24561403508771928,0.26535087719298245,912,17.85635964912281,281705
26,naive_outcomes,0.3,0.16421151161193848,0.17072820663452148,442368,0.20533740520477295,0.11433997750282288,0.13861756026744843,0.1810598224401474,0.2500472366809845,0.18914225697517395,0.10725893824485373,0.12134344528710726,0.24268689057421453,0.2437703141928494,923,18.027085590465873,281705
