update_idx,run_label,oversight_prob,t_generate_and_process_batch,t_full_step,global_step,avg_unseen_or_unfinished_gate,avg_seen_diamond_gate,avg_seen_ghost_gate,policy_loss,value_loss,gate_loss,entropy_bonus,loss,avg_action_prob,avg_return,avg_gate_openness,reached_diamond_seen,reached_ghost_seen,reached_diamond_unseen,reached_ghost_unseen,n_complete_eps,complete_ep_len,run_id
0,routing,0.01,0.8792192935943604,1.4129579067230225,16384,0.5019151568412781,0.502198338508606,0.5037951469421387,0.47861042618751526,0.14437919855117798,0.006898684427142143,-0.13862676918506622,0.4912615716457367,0.2500162124633789,0.341426819562912,0.4979117214679718,0.005547850208044383,0.0013869625520110957,0.5090152565880721,0.4840499306518724,721,9.592233009708737,357849
1,routing,0.01,0.1540393829345703,0.18017840385437012,32768,0.5022315979003906,,0.5026255249977112,,0.1327262818813324,0.0069841924123466015,,,0.25003135204315186,0.3130567967891693,0.49765902757644653,0.0,0.005905511811023622,0.3297244094488189,0.35531496062992124,1016,18.26771653543307,357849
2,routing,0.01,0.14862942695617676,0.17743444442749023,49152,0.502147376537323,0.5031431913375854,0.5016084909439087,0.39187803864479065,0.12060306966304779,0.006930731236934662,-0.1386265605688095,0.3807852566242218,0.25001025199890137,0.28349652886390686,0.49773120880126953,0.0031982942430703624,0.0042643923240938165,0.337953091684435,0.35394456289978676,938,18.11087420042644,357849
3,routing,0.01,0.14075136184692383,0.16649913787841797,65536,0.5020689368247986,0.5024176836013794,0.5048151612281799,0.40565046668052673,0.12426948547363281,0.006946531590074301,-0.13862650096416473,0.39824000000953674,0.2500317096710205,0.29574400186538696,0.49778878688812256,0.003386004514672686,0.001128668171557562,0.33747178329571104,0.37020316027088035,886,18.706546275395034,357849
4,routing,0.01,0.1470489501953125,0.1721796989440918,81920,0.5020385384559631,0.5015836954116821,0.5048779845237732,0.434614360332489,0.13362744450569153,0.007009392604231834,-0.13862642645835876,0.43662479519844055,0.25001659989356995,0.3179997503757477,0.49779796600341797,0.0021141649048625794,0.003171247357293869,0.38372093023255816,0.3562367864693446,946,17.643763213530654,357849
5,routing,0.01,0.13956975936889648,0.16489028930664062,98304,0.5019680857658386,0.5049984455108643,0.5031414031982422,0.401441365480423,0.12362580746412277,0.006932853255420923,-0.13862641155719757,0.39337360858917236,0.25000375509262085,0.295683890581131,0.4978519678115845,0.004489337822671156,0.005611672278338945,0.35914702581369246,0.36475869809203143,891,17.94500561167228,357849
6,routing,0.01,0.14213228225708008,0.1669759750366211,114688,0.5018322467803955,0.503673255443573,0.5010641813278198,0.3724774718284607,0.11598354578018188,0.006894776131957769,-0.13862639665603638,0.3567293882369995,0.2500205636024475,0.27678823471069336,0.49798381328582764,0.0033783783783783786,0.0033783783783783786,0.3502252252252252,0.3502252252252252,888,18.449324324324323,357849
7,routing,0.01,0.14260435104370117,0.16776013374328613,131072,0.5017743706703186,0.5029028058052063,0.5023562908172607,0.4108026325702667,0.12702131271362305,0.0069393375888466835,-0.13862644135951996,0.40613681077957153,0.25002026557922363,0.3061707317829132,0.4980197548866272,0.0042780748663101605,0.0042780748663101605,0.38181818181818183,0.3593582887700535,935,17.50588235294118,357849
8,routing,0.01,0.13913178443908691,0.16413187980651855,147456,0.5016829967498779,0.5046477913856506,0.5023585557937622,0.3533925414085388,0.10985259711742401,0.006841481197625399,-0.13862644135951996,0.331460177898407,0.24999591708183289,0.2661103904247284,0.4980500340461731,0.004807692307692308,0.001201923076923077,0.359375,0.33413461538461536,832,19.057692307692307,357849
9,routing,0.01,0.14437222480773926,0.16997122764587402,163840,0.5018017888069153,0.5047058463096619,0.50031578540802,0.42215192317962646,0.1311315894126892,0.006876151543110609,-0.13862639665603638,0.4215332567691803,0.250041127204895,0.3182547688484192,0.49798351526260376,0.006097560975609756,0.007113821138211382,0.3648373983739837,0.3699186991869919,984,17.423780487804876,357849
