update_idx,run_label,oversight_prob,t_generate_and_process_batch,t_full_step,global_step,avg_unseen_or_unfinished_gate,avg_seen_diamond_gate,avg_seen_ghost_gate,policy_loss,value_loss,gate_loss,entropy_bonus,loss,avg_action_prob,avg_return,avg_gate_openness,reached_diamond_seen,reached_ghost_seen,reached_diamond_unseen,reached_ghost_unseen,n_complete_eps,complete_ep_len,run_id
0,routing,0.01,0.5610449314117432,0.9783174991607666,16384,0.5009980201721191,0.5007902383804321,0.5002488493919373,0.47133585810661316,0.14189189672470093,0.006928474176675081,-0.13862398266792297,0.4815322160720825,0.2500377297401428,0.3419739305973053,0.4987293481826782,0.0028694404591104736,0.005738880918220947,0.5050215208034433,0.48637015781922527,697,10.001434720229556,749276
1,routing,0.01,0.15639686584472656,0.18336725234985352,32768,0.5008569359779358,0.501175045967102,0.5022698640823364,0.39361312985420227,0.12114487588405609,0.00695848697796464,-0.13862331211566925,0.3830931782722473,0.2500489354133606,0.2876270115375519,0.49880242347717285,0.003083247687564234,0.0051387461459403904,0.328879753340185,0.32065775950668035,973,18.949640287769785,749276
2,routing,0.01,0.14682912826538086,0.17243361473083496,49152,0.5006948709487915,0.49992766976356506,0.5004710555076599,0.371499627828598,0.1149492859840393,0.006936446763575077,-0.13862280547618866,0.35476258397102356,0.2500140070915222,0.27574068307876587,0.49888134002685547,0.006600660066006601,0.0044004400440044,0.33773377337733773,0.33993399339933994,909,18.712871287128714,749276
3,routing,0.01,0.14457273483276367,0.1737990379333496,65536,0.5005900263786316,0.4992227852344513,0.5008666515350342,0.37574511766433716,0.11817634850740433,0.006947786081582308,-0.1386229693889618,0.3622462749481201,0.2500430941581726,0.2816274166107178,0.49891167879104614,0.00331858407079646,0.004424778761061947,0.3573008849557522,0.35398230088495575,904,17.993362831858406,749276
4,routing,0.01,0.1463484764099121,0.17515063285827637,81920,0.5005946159362793,0.4998979866504669,0.5008555054664612,0.38266146183013916,0.11918853968381882,0.006942774634808302,-0.13862282037734985,0.3701699674129486,0.25002530217170715,0.2899307608604431,0.498918741941452,0.007709251101321586,0.005506607929515419,0.34251101321585903,0.3458149779735683,908,18.70044052863436,749276
5,routing,0.01,0.14516019821166992,0.17424416542053223,98304,0.5005202293395996,0.49976760149002075,0.5000863671302795,0.38792163133621216,0.12134796380996704,0.006935195066034794,-0.13862265646457672,0.3775821626186371,0.2499951869249344,0.2950148582458496,0.4989593029022217,0.006472491909385114,0.004314994606256742,0.3408845738942826,0.3732470334412082,927,17.659115426105718,749276
6,routing,0.01,0.14664506912231445,0.17622089385986328,114688,0.5004888772964478,0.5011053681373596,0.4993588924407959,0.37165674567222595,0.11706260591745377,0.006914855912327766,-0.13862255215644836,0.3570116460323334,0.25003981590270996,0.2867514491081238,0.49897104501724243,0.0044004400440044,0.0022002200220022,0.36083608360836084,0.37623762376237624,909,17.634763476347636,749276
7,routing,0.01,0.14794397354125977,0.17742300033569336,131072,0.5004674196243286,0.5004531741142273,0.4999256730079651,0.3998795747756958,0.12587282061576843,0.006926980335265398,-0.1386222094297409,0.39405718445777893,0.25002819299697876,0.3098233938217163,0.49898841977119446,0.005302226935312832,0.005302226935312832,0.37009544008483564,0.3637327677624602,943,17.530222693531282,749276
8,routing,0.01,0.14609456062316895,0.17621159553527832,147456,0.5003878474235535,0.49971938133239746,0.5008172988891602,0.37145113945007324,0.11807788908481598,0.0069403997622430325,-0.13862238824367523,0.3578470051288605,0.2500452995300293,0.29291605949401855,0.49898821115493774,0.004352557127312296,0.002176278563656148,0.3373231773667029,0.3808487486398259,919,17.904243743199128,749276
9,routing,0.01,0.14691400527954102,0.17610955238342285,163840,0.5004207491874695,0.5005196928977966,0.5014623403549194,0.37114399671554565,0.11824275553226471,0.006928897928446531,-0.13862206041812897,0.3576935827732086,0.2500321865081787,0.29632189869880676,0.4989868402481079,0.00544069640914037,0.002176278563656148,0.3416757344940152,0.39173014145810664,919,17.53536452665941,749276
