update_idx,run_label,oversight_prob,t_generate_and_process_batch,t_full_step,global_step,policy_loss,value_loss,entropy_bonus,loss,avg_action_prob,avg_return,reached_diamond_seen,reached_ghost_seen,reached_diamond_unseen,reached_ghost_unseen,n_complete_eps,complete_ep_len,run_id
0,naive_outcomes,0.01,0.5649881362915039,0.9506711959838867,16384,0.4964328110218048,0.1515543907880783,0.1386239379644394,0.5093632340431213,0.25003552436828613,0.354267418384552,0.005376344086021506,0.004032258064516129,0.48118279569892475,0.5094086021505376,744,9.798387096774194,501020
1,naive_outcomes,0.01,0.12775778770446777,0.13434219360351562,32768,0.40914005041122437,0.12711867690086365,0.13862410187721252,0.3976345956325531,0.2500435411930084,0.2931634485721588,0.005958291956305859,0.0029791459781529296,0.3326713008937438,0.33962264150943394,1007,18.142005958291957,501020
2,naive_outcomes,0.01,0.12714242935180664,0.13338875770568848,49152,0.39781779050827026,0.12359671294689178,0.13862445950508118,0.38279005885124207,0.2500203251838684,0.28659167885780334,0.002098635886673662,0.002098635886673662,0.3578174186778594,0.3473242392444911,953,17.875131164742918,501020
3,naive_outcomes,0.01,0.12286782264709473,0.1287853717803955,65536,0.40359193086624146,0.12630900740623474,0.13862435519695282,0.3912765383720398,0.2499990165233612,0.29225802421569824,0.0010869565217391304,0.004347826086956522,0.35,0.3717391304347826,920,17.846739130434784,501020
4,naive_outcomes,0.01,0.12282037734985352,0.12952828407287598,81920,0.37971988320350647,0.1207914799451828,0.13862432539463043,0.36188703775405884,0.2500064969062805,0.27792584896087646,0.0021482277121374865,0.0053705692803437165,0.359828141783029,0.3651987110633727,931,17.378088077336198,501020
5,naive_outcomes,0.01,0.1242527961730957,0.1301276683807373,98304,0.4060133099555969,0.12889215350151062,0.13862435519695282,0.39628106355667114,0.25003594160079956,0.3009977638721466,0.0020964360587002098,0.0031446540880503146,0.3469601677148847,0.3805031446540881,954,17.530398322851152,501020
6,naive_outcomes,0.01,0.12414073944091797,0.1300055980682373,114688,0.3875516355037689,0.12169060111045837,0.13862447440624237,0.37061774730682373,0.25000882148742676,0.28859251737594604,0.005537098560354375,0.0033222591362126247,0.3477297895902547,0.3687707641196013,903,17.984496124031008,501020
7,naive_outcomes,0.01,0.12294816970825195,0.12899994850158691,131072,0.41094303131103516,0.12886059284210205,0.1386243999004364,0.4011792242527008,0.2500198483467102,0.3081483840942383,0.0021119324181626186,0.0031678986272439284,0.37486800422386485,0.368532206969377,947,17.368532206969377,501020
8,naive_outcomes,0.01,0.13153958320617676,0.13766264915466309,147456,0.3834660053253174,0.12095277011394501,0.13862453401088715,0.36579424142837524,0.2500394880771637,0.2908658981323242,0.0,0.0022148394241417496,0.37209302325581395,0.35658914728682173,903,18.117386489479514,501020
9,naive_outcomes,0.01,0.12261319160461426,0.12855768203735352,163840,0.3560967445373535,0.1130099818110466,0.1386244148015976,0.3304823040962219,0.25002220273017883,0.2734118700027466,0.002205071664829107,0.002205071664829107,0.37927232635060637,0.3472987872105843,907,17.402425578831313,501020
10,naive_outcomes,0.01,0.12361526489257812,0.1297140121459961,180224,0.3630531132221222,0.11554251611232758,0.13862460851669312,0.33997100591659546,0.25000321865081787,0.2801099121570587,0.0010638297872340426,0.0031914893617021275,0.34361702127659577,0.3627659574468085,940,18.102127659574467,501020
11,naive_outcomes,0.01,0.143507719039917,0.15008139610290527,196608,0.3776875436306,0.12205539643764496,0.13862453401088715,0.3611183762550354,0.25002825260162354,0.29407548904418945,0.008429926238145416,0.004214963119072708,0.3487881981032666,0.36880927291886195,949,17.49736564805058,501020
12,naive_outcomes,0.01,0.12415027618408203,0.13013911247253418,212992,0.3854723870754242,0.12393099069595337,0.13862471282482147,0.3707786202430725,0.2500573992729187,0.30175164341926575,0.003218884120171674,0.004291845493562232,0.38090128755364805,0.35085836909871243,932,17.65021459227468,501020
13,naive_outcomes,0.01,0.12345504760742188,0.12942862510681152,229376,0.3786225914955139,0.12072601914405823,0.13862453401088715,0.3607240915298462,0.2500220835208893,0.2993403673171997,0.003243243243243243,0.001081081081081081,0.3772972972972973,0.36324324324324325,925,17.394594594594594,501020
14,naive_outcomes,0.01,0.12238955497741699,0.12835693359375,245760,0.3542588949203491,0.11366185545921326,0.1386244297027588,0.3292963206768036,0.25002521276474,0.28520265221595764,0.0022123893805309734,0.0011061946902654867,0.3606194690265487,0.3329646017699115,904,18.545353982300885,501020
15,naive_outcomes,0.01,0.12740659713745117,0.13330435752868652,262144,0.4039146900177002,0.12730084359645844,0.13862448930740356,0.39259105920791626,0.2500046193599701,0.32292813062667847,0.002157497303128371,0.0010787486515641855,0.3505933117583603,0.4045307443365696,927,17.325782092772386,501020
16,naive_outcomes,0.01,0.12871313095092773,0.13486003875732422,278528,0.3582207262516022,0.11646567285060883,0.13862460851669312,0.3360617756843567,0.2500402331352234,0.29248687624931335,0.003271537622682661,0.003271537622682661,0.35877862595419846,0.37295528898582336,917,17.579062159214832,501020
17,naive_outcomes,0.01,0.12350082397460938,0.12951135635375977,294912,0.32661283016204834,0.10798901319503784,0.13862457871437073,0.29597726464271545,0.2500038743019104,0.2724379301071167,0.0033333333333333335,0.005555555555555556,0.32555555555555554,0.35555555555555557,900,18.504444444444445,501020
18,naive_outcomes,0.01,0.12635397911071777,0.13242602348327637,311296,0.35219311714172363,0.11426503956317902,0.1386241912841797,0.32783395051956177,0.24997782707214355,0.29238247871398926,0.0022471910112359553,0.0044943820224719105,0.32471910112359553,0.39101123595505616,890,18.191011235955056,501020
19,naive_outcomes,0.01,0.12361407279968262,0.12947559356689453,327680,0.37569260597229004,0.12358126044273376,0.13862435519695282,0.3606495261192322,0.2500210702419281,0.3125651478767395,0.006329113924050633,0.005274261603375527,0.35864978902953587,0.3881856540084388,948,17.453586497890296,501020
20,naive_outcomes,0.01,0.12404394149780273,0.13019323348999023,344064,0.328972727060318,0.10896782577037811,0.13862429559230804,0.2993162274360657,0.25002235174179077,0.2801821231842041,0.0032751091703056767,0.001091703056768559,0.33624454148471616,0.3646288209606987,916,17.897379912663755,501020
21,naive_outcomes,0.01,0.1245880126953125,0.13039207458496094,360448,0.3525826930999756,0.11750882863998413,0.13862447440624237,0.33146703243255615,0.25004422664642334,0.3019806742668152,0.0010649627263045794,0.007454739084132056,0.3610223642172524,0.3588924387646432,939,17.794462193823215,501020
22,naive_outcomes,0.01,0.12263059616088867,0.12838125228881836,376832,0.3491535782814026,0.11587093770503998,0.13862431049346924,0.3264002203941345,0.25003284215927124,0.30142706632614136,0.0,0.0031678986272439284,0.3759239704329461,0.3600844772967265,947,17.110876451953537,501020
23,naive_outcomes,0.01,0.12687444686889648,0.13269639015197754,393216,0.34432387351989746,0.11469247937202454,0.13862434029579163,0.32039201259613037,0.2500094771385193,0.30077075958251953,0.0010787486515641855,0.0,0.3969795037756203,0.34627831715210355,927,17.429341963322546,501020
24,naive_outcomes,0.01,0.12521600723266602,0.1310265064239502,409600,0.35673201084136963,0.11879003047943115,0.13862432539463043,0.33689773082733154,0.25004929304122925,0.31272822618484497,0.002103049421661409,0.0031545741324921135,0.36067297581493163,0.3911671924290221,951,17.25131440588854,501020
25,naive_outcomes,0.01,0.12566924095153809,0.131819486618042,425984,0.32237353920936584,0.10890491306781769,0.13862423598766327,0.29265421628952026,0.2500385642051697,0.29036346077919006,0.0077348066298342545,0.0022099447513812156,0.3580110497237569,0.343646408839779,905,18.299447513812154,501020
26,naive_outcomes,0.01,0.12770509719848633,0.1336512565612793,442368,0.3472740352153778,0.11651229858398438,0.13862407207489014,0.32516226172447205,0.2500688433647156,0.31140539050102234,0.00646551724137931,0.003232758620689655,0.3922413793103448,0.34375,928,17.54741379310345,501020
27,naive_outcomes,0.01,0.1269702911376953,0.1328446865081787,458752,0.32199913263320923,0.11033102869987488,0.13862411677837372,0.2937060594558716,0.25005340576171875,0.2965483069419861,0.0010834236186348862,0.0021668472372697724,0.35752979414951247,0.35752979414951247,923,18.053087757313108,501020
28,naive_outcomes,0.01,0.12636613845825195,0.13227629661560059,475136,0.3062463402748108,0.1060202494263649,0.13862398266792297,0.2736425995826721,0.25007182359695435,0.28739094734191895,0.00684931506849315,0.00228310502283105,0.3470319634703196,0.3767123287671233,876,18.1175799086758,501020
29,naive_outcomes,0.01,0.12022256851196289,0.12639665603637695,491520,0.3057900667190552,0.10615970194339752,0.13862375915050507,0.27332597970962524,0.25002521276474,0.2893122434616089,0.0032822757111597373,0.0010940919037199124,0.35120350109409193,0.3665207877461707,914,18.080962800875273,501020
30,naive_outcomes,0.01,0.12148880958557129,0.1271650791168213,507904,0.3249168395996094,0.11213419586420059,0.1386236995458603,0.2984273433685303,0.25004905462265015,0.30523741245269775,0.00641025641025641,0.0010683760683760685,0.37072649572649574,0.36538461538461536,936,17.40277777777778,501020
31,naive_outcomes,0.01,0.12054824829101562,0.12630367279052734,524288,0.2957220673561096,0.10618232190608978,0.13862363994121552,0.2632807493209839,0.25001776218414307,0.2880192697048187,0.003278688524590164,0.003278688524590164,0.35737704918032787,0.3650273224043716,915,17.904918032786885,501020
32,naive_outcomes,0.01,0.12368512153625488,0.1294388771057129,540672,0.3040720522403717,0.10729817301034927,0.1386236697435379,0.27274656295776367,0.25005096197128296,0.2974911332130432,0.0,0.004268943436499467,0.3649946638207044,0.35538954108858056,937,17.78014941302028,501020
33,naive_outcomes,0.01,0.12126731872558594,0.12719964981079102,557056,0.263744056224823,0.09719640016555786,0.13862335681915283,0.22231709957122803,0.24999329447746277,0.27042293548583984,0.006772009029345372,0.0,0.3611738148984199,0.3431151241534989,886,18.018058690744923,501020
34,naive_outcomes,0.01,0.13112783432006836,0.13705015182495117,573440,0.28352248668670654,0.10454419255256653,0.1386231631040573,0.24944351613521576,0.2500479817390442,0.28846845030784607,0.001076426264800861,0.004305705059203444,0.37029063509149623,0.3433799784714747,929,17.81377825618945,501020
35,naive_outcomes,0.01,0.12435007095336914,0.13029742240905762,589824,0.27013659477233887,0.10115065425634384,0.1386232227087021,0.23266403377056122,0.25003769993782043,0.2817839980125427,0.0031982942430703624,0.0042643923240938165,0.3699360341151386,0.3443496801705757,938,17.63219616204691,501020
36,naive_outcomes,0.01,0.12438035011291504,0.13018560409545898,606208,0.31480997800827026,0.1109902560710907,0.13862298429012299,0.28717726469039917,0.25005286931991577,0.31770825386047363,0.006389776357827476,0.0,0.35782747603833864,0.3855165069222577,939,17.483493077742278,501020
37,naive_outcomes,0.01,0.12378907203674316,0.1296379566192627,622592,0.31481459736824036,0.1120876669883728,0.13862311840057373,0.28827914595603943,0.2500419616699219,0.3206847906112671,0.0030959752321981426,0.0041279669762641896,0.3560371517027864,0.38802889576883387,969,17.24251805985552,501020
38,naive_outcomes,0.01,0.12233924865722656,0.12807035446166992,638976,0.26285162568092346,0.10189715027809143,0.13862286508083344,0.22612591087818146,0.2500355839729309,0.28666871786117554,0.004459308807134894,0.007803790412486065,0.3634336677814939,0.35674470457079155,897,17.597547380156076,501020
39,naive_outcomes,0.01,0.1202085018157959,0.12596654891967773,655360,0.2440248429775238,0.09587736427783966,0.1386227160692215,0.20127950608730316,0.25003114342689514,0.2770574390888214,0.009111617312072893,0.0011389521640091116,0.3246013667425968,0.3690205011389522,878,18.70728929384966,501020
40,naive_outcomes,0.01,0.1235203742980957,0.12923979759216309,671744,0.2823363244533539,0.10509766638278961,0.13862274587154388,0.2488112598657608,0.2500467896461487,0.3072669804096222,0.0042780748663101605,0.0021390374331550803,0.38288770053475935,0.3572192513368984,935,17.56149732620321,501020
41,naive_outcomes,0.01,0.12156391143798828,0.12733244895935059,688128,0.22366175055503845,0.09467436373233795,0.1386224329471588,0.17971369624137878,0.2500097155570984,0.2680828869342804,0.0045045045045045045,0.006756756756756757,0.34459459459459457,0.3547297297297297,888,18.17117117117117,501020
42,naive_outcomes,0.01,0.12598156929016113,0.13169050216674805,704512,0.24006246030330658,0.09831026941537857,0.13862232863903046,0.1997504085302353,0.2500613331794739,0.2826150059700012,0.002190580503833516,0.0065717415115005475,0.3614457831325301,0.3384446878422782,913,18.4184008762322,501020
43,naive_outcomes,0.01,0.12125611305236816,0.12696623802185059,720896,0.22313150763511658,0.0941474437713623,0.13862252235412598,0.1786564290523529,0.25004470348358154,0.273262083530426,0.0011061946902654867,0.00331858407079646,0.34292035398230086,0.3694690265486726,904,17.658185840707965,501020
44,naive_outcomes,0.01,0.12239980697631836,0.12816667556762695,737280,0.23792463541030884,0.0992392897605896,0.13862204551696777,0.19854187965393066,0.250032514333725,0.2874525487422943,0.002127659574468085,0.00851063829787234,0.34893617021276596,0.3659574468085106,940,17.645744680851063,501020
