update_idx,run_label,oversight_prob,t_generate_and_process_batch,t_full_step,global_step,avg_unseen_or_unfinished_gate,avg_seen_diamond_gate,avg_seen_ghost_gate,policy_loss,value_loss,gate_loss,entropy_bonus,loss,avg_action_prob,avg_return,avg_gate_openness,reached_diamond_seen,reached_ghost_seen,reached_diamond_unseen,reached_ghost_unseen,n_complete_eps,complete_ep_len,run_id
0,routing,0.01,0.5575752258300781,0.8455302715301514,16384,0.5007356405258179,0.4989851117134094,,,141445.03125,0.006951822899281979,,,0.25005996227264404,339.71905517578125,0.4981362223625183,0.0014771048744460858,0.0,0.4623338257016248,0.5361890694239291,677,10.224519940915805,725776
1,routing,0.01,0.14464974403381348,0.17060542106628418,32768,0.5011497139930725,0.5021830797195435,0.4999219477176666,409.3491516113281,125727.109375,0.006924490910023451,-0.13861438632011414,126136.328125,0.2500747740268707,295.32745361328125,0.4980487525463104,0.0009940357852882703,0.003976143141153081,0.33300198807157055,0.3359840954274354,1006,18.238568588469185,725776
2,routing,0.01,0.13735318183898926,0.16259479522705078,49152,0.501410722732544,0.5013920068740845,0.5010672807693481,396.93975830078125,121877.0234375,0.006909754127264023,-0.13861417770385742,122273.828125,0.25007379055023193,286.42889404296875,0.49790531396865845,0.006593406593406593,0.002197802197802198,0.34725274725274724,0.34615384615384615,910,18.734065934065935,725776
3,routing,0.01,0.13930678367614746,0.16415643692016602,65536,0.5015499591827393,0.5009762048721313,0.5017205476760864,401.1695251464844,123885.8125,0.006949740462005138,-0.1386137753725052,124286.8515625,0.2501118779182434,289.4898986816406,0.4978291988372803,0.004319654427645789,0.0064794816414686825,0.3596112311015119,0.3531317494600432,926,17.750539956803454,725776
4,routing,0.01,0.14031720161437988,0.16469693183898926,81920,0.5018987655639648,0.5032962560653687,0.5024696588516235,413.10748291015625,127465.4453125,0.006928225513547659,-0.13861362636089325,127878.421875,0.2500789165496826,298.12982177734375,0.49764204025268555,0.003157894736842105,0.005263157894736842,0.3736842105263158,0.34842105263157896,950,17.486315789473686,725776
5,routing,0.01,0.14143967628479004,0.16589617729187012,98304,0.5021765828132629,0.5031708478927612,0.5042714476585388,407.1451416015625,126135.296875,0.006950428709387779,-0.13861356675624847,126542.3125,0.25004854798316956,293.8154296875,0.4974651038646698,0.004201680672268907,0.0021008403361344537,0.3560924369747899,0.3634453781512605,952,17.543067226890756,725776
6,routing,0.01,0.14224004745483398,0.16741704940795898,114688,0.5024701356887817,0.5008252859115601,0.5041327476501465,420.1319274902344,128917.046875,0.006987963803112507,-0.13861340284347534,129337.046875,0.2501249313354492,303.17633056640625,0.49726495146751404,0.001072961373390558,0.002145922746781116,0.36802575107296137,0.38197424892703863,932,17.30472103004292,725776
7,routing,0.01,0.14290261268615723,0.17072296142578125,131072,0.5028241872787476,0.5031909346580505,0.5039663910865784,394.6747741699219,121818.984375,0.007004901766777039,-0.13861288130283356,122213.5234375,0.2500150799751282,284.8309326171875,0.4969823956489563,0.0010822510822510823,0.007575757575757576,0.3300865800865801,0.3852813852813853,924,17.611471861471863,725776
8,routing,0.01,0.14050841331481934,0.16940641403198242,147456,0.5031147599220276,0.5024902820587158,0.5048447847366333,428.8697814941406,131747.671875,0.0069960602559149265,-0.13861261308193207,132176.40625,0.2501264810562134,309.5881652832031,0.4967542290687561,0.0021598272138228943,0.005399568034557235,0.3444924406047516,0.38444924406047515,926,17.879049676025918,725776
9,routing,0.01,0.13893580436706543,0.16687583923339844,163840,0.5035014748573303,0.5019927024841309,0.5049445033073425,389.65032958984375,120307.046875,0.006949394941329956,-0.13861170411109924,120696.5625,0.25007662177085876,281.1059875488281,0.49640607833862305,0.006741573033707865,0.0033707865168539327,0.36966292134831463,0.3471910112359551,890,17.786516853932586,725776
