update_idx,run_label,oversight_prob,t_generate_and_process_batch,t_full_step,global_step,avg_unseen_or_unfinished_gate,avg_seen_diamond_gate,avg_seen_ghost_gate,policy_loss,value_loss,gate_loss,entropy_bonus,loss,avg_action_prob,avg_return,avg_gate_openness,reached_diamond_seen,reached_ghost_seen,reached_diamond_unseen,reached_ghost_unseen,n_complete_eps,complete_ep_len,run_id
0,routing,0.01,0.5339694023132324,0.819460391998291,16384,0.4988216757774353,0.4983108937740326,0.4983328580856323,23.670150756835938,355.302001953125,0.0069097429513931274,-0.13862434029579163,378.8404541015625,0.2500057816505432,17.074398040771484,0.49845123291015625,0.007142857142857143,0.007142857142857143,0.4942857142857143,0.49142857142857144,700,9.948571428571428,221336
1,routing,0.01,0.14724040031433105,0.17325949668884277,32768,0.49867311120033264,0.4983207583427429,0.49720704555511475,22.291133880615234,340.6375732421875,0.006924387067556381,-0.1386243849992752,362.7970275878906,0.250037282705307,16.08395004272461,0.4983518719673157,0.008678881388621022,0.007714561234329798,0.36065573770491804,0.3162970106075217,1037,18.06364513018322,221336
2,routing,0.01,0.1457357406616211,0.17097711563110352,49152,0.4985509514808655,0.4987123906612396,0.4988945722579956,21.65385627746582,335.324951171875,0.006921766791492701,-0.13862423598766327,356.8471374511719,0.2499752640724182,15.621485710144043,0.498298704624176,0.0009950248756218905,0.003980099502487562,0.36019900497512436,0.38109452736318405,1005,16.882587064676617,221336
3,routing,0.01,0.1447734832763672,0.16920828819274902,65536,0.49840235710144043,0.49817341566085815,,,293.4638671875,0.00696811405941844,,,0.2500278353691101,13.837475776672363,0.4981895983219147,0.00909090909090909,0.0,0.3261363636363636,0.35568181818181815,880,18.852272727272727,221336
4,routing,0.01,0.14339995384216309,0.16829729080200195,81920,0.4983772337436676,0.4991428852081299,0.49811702966690063,22.328720092773438,344.53839111328125,0.006916529964655638,-0.13862453401088715,366.7354431152344,0.2500237822532654,16.116243362426758,0.49817726016044617,0.004052684903748734,0.00303951367781155,0.36879432624113473,0.3880445795339412,987,16.662613981762917,221336
5,routing,0.01,0.14399313926696777,0.16866302490234375,98304,0.498357355594635,0.49736717343330383,0.4974905848503113,21.935100555419922,338.6364440917969,0.006907148286700249,-0.13862475752830505,360.4398193359375,0.24999617040157318,15.83528995513916,0.49813544750213623,0.0020597322348094747,0.0010298661174047373,0.36972193614830073,0.38928939237899074,971,16.74562306900103,221336
6,routing,0.01,0.13962984085083008,0.16463851928710938,114688,0.4982092082500458,0.5002085566520691,0.4994736313819885,20.45162010192871,314.2035217285156,0.0069245207123458385,-0.13862480223178864,334.5234680175781,0.25001707673072815,14.767863273620605,0.49804365634918213,0.0010893246187363835,0.002178649237472767,0.3660130718954248,0.355119825708061,918,17.892156862745097,221336
7,routing,0.01,0.1461048126220703,0.17118048667907715,131072,0.4981192946434021,0.4975711703300476,0.49610674381256104,20.83187484741211,320.8341064453125,0.006907620932906866,-0.13862480223178864,341.5342712402344,0.25004133582115173,15.043929100036621,0.49795377254486084,0.0032679738562091504,0.0032679738562091504,0.35838779956427014,0.37037037037037035,918,17.5,221336
8,routing,0.01,0.1600959300994873,0.18682122230529785,147456,0.4980359375476837,0.4958784282207489,,,311.0203552246094,0.007014362141489983,,,0.2500201463699341,14.486807823181152,0.49787187576293945,0.004153686396677051,0.0,0.35514018691588783,0.37383177570093457,963,16.950155763239877,221336
9,routing,0.01,0.14830756187438965,0.17368555068969727,163840,0.49808406829833984,0.4973871111869812,0.4991705119609833,20.327064514160156,313.621826171875,0.006960052065551281,-0.13862495124340057,333.8172302246094,0.2500162124633789,14.68310546875,0.49792537093162537,0.006472491909385114,0.003236245954692557,0.36461704422869473,0.36461704422869473,927,17.76591154261057,221336
