update_idx,run_label,oversight_prob,t_generate_and_process_batch,t_full_step,global_step,avg_unseen_or_unfinished_gate,avg_seen_diamond_gate,avg_seen_ghost_gate,policy_loss,value_loss,gate_loss,entropy_bonus,loss,avg_action_prob,avg_return,avg_gate_openness,reached_diamond_seen,reached_ghost_seen,reached_diamond_unseen,reached_ghost_unseen,n_complete_eps,complete_ep_len,run_id
0,routing,0.01,0.5445294380187988,0.8400712013244629,16384,0.4991730749607086,0.499875009059906,0.49953365325927734,4.890318870544434,14.565549850463867,0.006931663025170565,-0.13862241804599762,19.324176788330078,0.25006410479545593,3.526665687561035,0.4984172582626343,0.005738880918220947,0.00430416068866571,0.48637015781922527,0.503586800573888,697,10.42467718794835,9885
1,routing,0.01,0.14433836936950684,0.1703472137451172,32768,0.49946966767311096,0.49834251403808594,0.49858006834983826,4.234241962432861,12.922632217407227,0.006920953281223774,-0.13862206041812897,17.02517318725586,0.2500571012496948,3.055213451385498,0.49853307008743286,0.0030211480362537764,0.006042296072507553,0.351460221550856,0.33131923464249746,993,18.317220543806645,9885
2,routing,0.01,0.13753485679626465,0.1623244285583496,49152,0.4995667040348053,0.5006994009017944,0.4999540448188782,4.002505302429199,12.311513900756836,0.006923912093043327,-0.13862189650535583,16.18231964111328,0.2500380873680115,2.890979051589966,0.49846696853637695,0.0021810250817884407,0.0054525627044711015,0.3685932388222465,0.3293347873500545,917,18.210468920392586,9885
3,routing,0.01,0.14095473289489746,0.1666419506072998,65536,0.49959707260131836,0.49989989399909973,0.4982524514198303,4.153876781463623,12.715883255004883,0.006901494227349758,-0.13862179219722748,16.738039016723633,0.2500608563423157,3.002537250518799,0.4985312819480896,0.0010964912280701754,0.0043859649122807015,0.34978070175438597,0.3684210526315789,912,18.25877192982456,9885
4,routing,0.01,0.14257597923278809,0.1675562858581543,81920,0.4994807839393616,0.5016586184501648,0.5018662810325623,3.871666431427002,11.922889709472656,0.006936064921319485,-0.13862170279026031,15.662870407104492,0.24999284744262695,2.8003993034362793,0.49852272868156433,0.0033259423503325942,0.0033259423503325942,0.32926829268292684,0.352549889135255,902,18.61640798226164,9885
